epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.548,1.89174,1.71956,1.60976,0.19308,0.79586,0.20055,0.09935,1.62624,17.2886,1.75202,0.00066129,0.00066129,0.00066129
2,132.263,1.75118,1.30797,1.55493,0.03964,0.6568,0.03294,0.01684,1.73024,31.6516,1.69325,0.00119649,0.00119649,0.00119649
3,206.59,1.72126,1.25064,1.53597,0.73929,0.69329,0.73211,0.37419,1.6851,1.92484,1.60305,0.00159969,0.00159969,0.00159969
4,280.931,1.66267,1.13069,1.49108,0.18018,0.86588,0.1751,0.08947,1.60841,4.78871,1.49352,0.001406,0.001406,0.001406
5,350.052,1.62236,1.03741,1.46268,0.80728,0.77712,0.82284,0.43783,1.66813,1.11307,1.53558,0.001208,0.001208,0.001208
6,411.709,1.55887,0.97076,1.42183,0.82129,0.82643,0.88327,0.50698,1.47139,0.90102,1.39351,0.00101,0.00101,0.00101
7,466.022,1.5006,0.89335,1.37488,0.86349,0.89842,0.93093,0.5312,1.46897,0.79687,1.39188,0.000812,0.000812,0.000812
8,521.307,1.46312,0.8112,1.349,0.89987,0.92176,0.96986,0.60611,1.33247,0.67474,1.29574,0.000614,0.000614,0.000614
9,575.121,1.40751,0.76777,1.32476,0.9017,0.92308,0.96619,0.60099,1.3721,0.64069,1.31414,0.000416,0.000416,0.000416
10,629.864,1.36922,0.71855,1.30564,0.88804,0.94576,0.97076,0.61955,1.29243,0.59578,1.26886,0.000218,0.000218,0.000218
