epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.949,5.04858,5.11867,4.19575,0.00015,0.01294,7e-05,2e-05,5.08011,5.00443,4.14641,0.00330769,0.00330769,0.00330769
2,79.0691,5.02276,4.89863,4.1812,0.00043,0.07562,0.00024,7e-05,5.13546,5.17552,4.57367,0.00662788,0.00662788,0.00662788
3,118.037,4.33115,4.10815,3.71364,0.12578,0.02687,0.02074,0.00555,3.44555,3.78247,3.65414,0.00993486,0.00993486,0.00993486
4,158.157,2.57374,2.5027,2.26017,0.42841,0.47662,0.42908,0.17904,2.01923,3.76041,1.99635,0.0099406,0.0099406,0.0099406
5,198.224,2.20897,1.93069,1.90046,0.62412,0.60597,0.61646,0.28918,1.85471,1.73689,1.75248,0.0099208,0.0099208,0.0099208
6,236.279,2.02043,1.65763,1.72064,0.62722,0.61442,0.60956,0.29305,1.76652,1.4928,1.6595,0.009901,0.009901,0.009901
7,275.33,1.92914,1.5077,1.6309,0.73381,0.67264,0.72229,0.3466,1.75532,1.42749,1.65342,0.0098812,0.0098812,0.0098812
8,314.345,1.84414,1.38957,1.56507,0.76806,0.73831,0.76787,0.37318,1.77959,1.36448,1.67594,0.0098614,0.0098614,0.0098614
9,352.189,1.78742,1.29721,1.51303,0.7804,0.7801,0.83994,0.42265,1.64296,1.22998,1.56205,0.0098416,0.0098416,0.0098416
10,390.667,1.77087,1.24255,1.50427,0.79021,0.77413,0.82482,0.43576,1.64186,1.10809,1.55246,0.0098218,0.0098218,0.0098218
11,430.163,1.70834,1.18507,1.46503,0.77414,0.69913,0.7586,0.32469,1.92428,1.25483,1.68533,0.009802,0.009802,0.009802
12,469.427,1.70358,1.14124,1.45577,0.76805,0.72736,0.79944,0.40427,1.71796,1.20715,1.5805,0.0097822,0.0097822,0.0097822
13,508.309,1.66037,1.09199,1.42772,0.84721,0.84413,0.90528,0.49756,1.52518,0.92314,1.45609,0.0097624,0.0097624,0.0097624
14,547.901,1.63489,1.06635,1.41521,0.8294,0.83205,0.88511,0.49286,1.52922,0.96152,1.45824,0.0097426,0.0097426,0.0097426
15,586.697,1.63891,1.03885,1.40326,0.84802,0.85501,0.91974,0.5176,1.48805,0.91766,1.42451,0.0097228,0.0097228,0.0097228
16,626.088,1.6248,1.03127,1.40705,0.8342,0.85109,0.89363,0.48159,1.58208,0.95918,1.47707,0.009703,0.009703,0.009703
17,665.407,1.59949,0.99351,1.38058,0.81772,0.83781,0.87826,0.48111,1.55008,0.95079,1.46133,0.0096832,0.0096832,0.0096832
18,704.981,1.58169,0.98447,1.3774,0.83665,0.84776,0.9133,0.52978,1.46527,0.89566,1.39,0.0096634,0.0096634,0.0096634
19,744.163,1.56625,0.96607,1.37518,0.81984,0.81506,0.88402,0.52577,1.41088,0.92077,1.37266,0.0096436,0.0096436,0.0096436
20,782.303,1.55077,0.95744,1.36541,0.84845,0.88014,0.93172,0.52709,1.47727,0.84116,1.42073,0.0096238,0.0096238,0.0096238
21,821.241,1.55781,0.94406,1.35339,0.83347,0.88657,0.9235,0.51853,1.48461,0.82613,1.40871,0.009604,0.009604,0.009604
22,860.005,1.54548,0.94661,1.37367,0.82353,0.86766,0.91353,0.51443,1.47187,0.91212,1.41173,0.0095842,0.0095842,0.0095842
23,899.278,1.52194,0.91057,1.34567,0.8533,0.86468,0.92061,0.53925,1.42628,0.82138,1.36704,0.0095644,0.0095644,0.0095644
24,939.444,1.52636,0.92444,1.34201,0.86759,0.86169,0.92777,0.57037,1.38872,0.78492,1.34034,0.0095446,0.0095446,0.0095446
25,979.074,1.53104,0.90801,1.33827,0.83879,0.89652,0.93029,0.55107,1.36539,0.77509,1.3339,0.0095248,0.0095248,0.0095248
26,1016.27,1.4971,0.89084,1.33744,0.8686,0.88139,0.9327,0.57474,1.35256,0.75405,1.31941,0.009505,0.009505,0.009505
27,1056.1,1.50091,0.87108,1.32757,0.85572,0.8796,0.93311,0.54949,1.40684,0.77242,1.36246,0.0094852,0.0094852,0.0094852
28,1094.92,1.51005,0.87295,1.33986,0.86027,0.90149,0.94482,0.57952,1.33519,0.73043,1.30263,0.0094654,0.0094654,0.0094654
29,1131.4,1.46937,0.85087,1.31196,0.83372,0.89353,0.91874,0.53415,1.4244,0.79271,1.3554,0.0094456,0.0094456,0.0094456
30,1169.68,1.47246,0.8476,1.31117,0.84485,0.90746,0.93404,0.57465,1.35179,0.72367,1.30891,0.0094258,0.0094258,0.0094258
31,1207.69,1.48022,0.85513,1.31437,0.82943,0.91244,0.9375,0.5451,1.42566,0.75094,1.36064,0.009406,0.009406,0.009406
32,1246.74,1.4472,0.83769,1.29559,0.86577,0.87285,0.9316,0.56834,1.34736,0.73737,1.32082,0.0093862,0.0093862,0.0093862
33,1285.29,1.43729,0.82498,1.2986,0.86052,0.9005,0.94344,0.56477,1.36717,0.72376,1.31833,0.0093664,0.0093664,0.0093664
34,1324,1.44788,0.82712,1.2944,0.85785,0.89474,0.94561,0.58565,1.32322,0.71082,1.29281,0.0093466,0.0093466,0.0093466
35,1362.61,1.44251,0.81897,1.28834,0.84588,0.89254,0.92147,0.55982,1.37144,0.72765,1.32312,0.0093268,0.0093268,0.0093268
