epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.353,5.04024,5.19336,4.23249,0.00019,0.01692,0.0001,3e-05,5.11315,4.99276,4.17972,0.00330769,0.00330769,0.00330769
2,72.3462,5.03339,5.0342,4.23274,0.00021,0.0209,0.00011,3e-05,5.07875,5.29514,4.27549,0.00662788,0.00662788,0.00662788
3,107.333,4.75441,4.45991,3.98663,0.00172,0.18905,0.00125,0.00039,4.45179,4.37008,3.85103,0.00993486,0.00993486,0.00993486
4,143.083,3.08542,3.21904,2.67823,0.16083,0.21692,0.08871,0.03061,2.4796,4.15363,2.47497,0.0099406,0.0099406,0.0099406
5,178.834,2.434,2.39026,2.07807,0.50211,0.41791,0.41713,0.17471,2.01949,2.72581,1.90097,0.0099208,0.0099208,0.0099208
6,214.782,2.22994,2.0073,1.85455,0.54678,0.54627,0.5402,0.22403,1.9533,2.00733,1.80101,0.009901,0.009901,0.009901
7,249.37,2.10424,1.84462,1.73959,0.6344,0.58408,0.62727,0.30326,1.7719,1.6389,1.65736,0.0098812,0.0098812,0.0098812
8,283.968,2.02576,1.74061,1.6796,0.65747,0.64876,0.66731,0.31505,1.79653,1.65644,1.66062,0.0098614,0.0098614,0.0098614
9,318.416,1.9559,1.63,1.61595,0.63866,0.57413,0.58609,0.26854,1.89218,1.64697,1.71779,0.0098416,0.0098416,0.0098416
10,352.785,1.92824,1.57919,1.60351,0.58175,0.4152,0.44584,0.16954,2.09977,2.00236,1.89434,0.0098218,0.0098218,0.0098218
11,387.972,1.86099,1.52049,1.56038,0.72013,0.66965,0.7281,0.38373,1.68718,1.39095,1.56758,0.009802,0.009802,0.009802
12,423.688,1.8687,1.47396,1.56268,0.74192,0.65789,0.72064,0.36041,1.70873,1.44337,1.58773,0.0097822,0.0097822,0.0097822
13,459.239,1.79654,1.39223,1.5168,0.7363,0.76404,0.78386,0.40842,1.65654,1.25697,1.5572,0.0097624,0.0097624,0.0097624
14,495.066,1.78323,1.36823,1.50097,0.71631,0.58706,0.64933,0.31689,1.79093,1.57432,1.69097,0.0097426,0.0097426,0.0097426
15,530.248,1.78103,1.3422,1.49174,0.73182,0.72637,0.75236,0.41605,1.58969,1.25813,1.49024,0.0097228,0.0097228,0.0097228
16,564.265,1.763,1.32479,1.49179,0.79035,0.75025,0.81706,0.4284,1.67235,1.24346,1.54731,0.009703,0.009703,0.009703
17,598.713,1.74049,1.27936,1.47002,0.80389,0.79127,0.85006,0.45991,1.59366,1.09515,1.50173,0.0096832,0.0096832,0.0096832
18,633.637,1.72235,1.24671,1.46766,0.71754,0.71741,0.74484,0.39478,1.64063,1.2514,1.52108,0.0096634,0.0096634,0.0096634
19,668.636,1.7184,1.27019,1.4819,0.78188,0.73118,0.79841,0.43933,1.56867,1.21184,1.47367,0.0096436,0.0096436,0.0096436
20,703.589,1.69078,1.20169,1.45168,0.77971,0.70788,0.80346,0.43816,1.64671,1.17795,1.52871,0.0096238,0.0096238,0.0096238
