epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6159,5.09025,4.90354,4.25444,0.00013,0.01194,7e-05,2e-05,5.08447,4.98309,4.1316,0.00330769,0.00330769,0.00330769
2,113.853,5.0719,4.84162,4.25432,0.00554,0.00299,0.00069,0.00018,4.5159,6.96875,6.64291,0.00662788,0.00662788,0.00662788
3,170.448,4.91845,4.62272,4.18494,0.00522,0.00995,0.00086,0.00024,4.84781,5.48081,7.10127,0.00993486,0.00993486,0.00993486
4,227.186,3.73143,3.66497,3.26835,0.11626,0.1403,0.04249,0.01298,2.94107,9.21791,3.03198,0.0099406,0.0099406,0.0099406
5,283.049,2.57653,2.44082,2.17228,0.23742,0.28259,0.16471,0.05254,2.49276,7.34643,2.48728,0.0099208,0.0099208,0.0099208
6,338.387,2.25266,1.88542,1.8517,0.51994,0.53234,0.51286,0.21577,1.90047,1.96483,1.76353,0.009901,0.009901,0.009901
7,393.757,2.07864,1.6258,1.71098,0.61774,0.57114,0.59107,0.25041,1.93978,1.68893,1.77021,0.0098812,0.0098812,0.0098812
8,449.71,1.94492,1.48491,1.62601,0.78019,0.67861,0.76677,0.38349,1.77067,1.31834,1.64516,0.0098614,0.0098614,0.0098614
9,506.234,1.87028,1.35118,1.56449,0.72286,0.68517,0.71271,0.30471,1.92089,1.48832,1.74759,0.0098416,0.0098416,0.0098416
10,561.028,1.82105,1.25753,1.53754,0.76513,0.79005,0.82765,0.44275,1.66825,1.11008,1.53259,0.0098218,0.0098218,0.0098218
11,616.568,1.77456,1.21379,1.49871,0.6569,0.59247,0.60829,0.20384,2.2217,1.51288,1.86083,0.009802,0.009802,0.009802
12,663.854,1.75836,1.18434,1.49264,0.80574,0.80896,0.86718,0.46868,1.57497,1.07318,1.49597,0.0097822,0.0097822,0.0097822
