epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5237,8.31988,13.3352,8.64631,0.00024,0.06707,0.00013,3e-05,7.68592,15.7107,8.32895,0.00329545,0.00329545,0.00329545
2,48.8881,7.48705,10.7546,8.32318,0.21709,0.02439,0.04557,0.01021,5.8725,10.8708,8.05737,0.00661566,0.00661566,0.00661566
3,73.4761,5.93246,7.80941,6.67513,0.09254,0.2439,0.06943,0.01545,5.47952,54.9939,19.5731,0.00992267,0.00992267,0.00992267
4,97.4947,5.23963,6.07691,5.71777,0.20524,0.2622,0.1345,0.03426,5.46095,33.3721,9.02769,0.0099406,0.0099406,0.0099406
5,121.5,4.9211,4.59295,5.16462,0.40041,0.27284,0.29725,0.09086,4.71527,4.4052,5.77266,0.0099208,0.0099208,0.0099208
6,145.284,4.61008,3.89441,4.81755,0.52683,0.56098,0.55832,0.20234,4.19713,5.42505,6.15048,0.009901,0.009901,0.009901
7,169.089,4.48114,3.39939,4.63064,0.60708,0.64063,0.61422,0.21671,4.14731,2.99702,5.00989,0.0098812,0.0098812,0.0098812
8,193.298,4.37305,3.1578,4.53431,0.63672,0.72561,0.70838,0.2784,3.92356,2.81283,4.78388,0.0098614,0.0098614,0.0098614
9,217.184,4.24489,2.96887,4.39429,0.61205,0.67073,0.69141,0.31679,3.77521,2.56986,4.5918,0.0098416,0.0098416,0.0098416
10,241.394,4.08807,2.83998,4.29817,0.68295,0.79268,0.78111,0.34761,3.6378,2.58325,4.57306,0.0098218,0.0098218,0.0098218
11,265.283,4.00365,2.74618,4.20657,0.74409,0.79268,0.80935,0.30244,4.37101,2.25154,4.96152,0.009802,0.009802,0.009802
12,288.769,3.9824,2.66588,4.2266,0.63017,0.78965,0.69922,0.31356,3.62003,2.48258,4.50058,0.0097822,0.0097822,0.0097822
13,312.839,3.89352,2.5436,4.15188,0.76239,0.78659,0.83698,0.38903,3.76643,1.84369,4.5666,0.0097624,0.0097624,0.0097624
14,336.945,3.85173,2.49661,4.11251,0.69916,0.75108,0.77415,0.38662,3.39874,2.90829,4.29628,0.0097426,0.0097426,0.0097426
15,360.745,3.72663,2.44524,3.99036,0.70327,0.75149,0.76372,0.33219,3.72044,1.99049,4.58538,0.0097228,0.0097228,0.0097228
16,384.402,3.7564,2.4292,3.99917,0.73084,0.82782,0.83746,0.40864,3.53209,2.44751,4.46588,0.009703,0.009703,0.009703
17,408.422,3.67145,2.31536,3.93305,0.63098,0.76112,0.69774,0.23624,4.26699,2.43656,5.21827,0.0096832,0.0096832,0.0096832
18,432.726,3.63395,2.31354,3.92418,0.78651,0.85976,0.87449,0.42813,3.47692,1.74144,4.27688,0.0096634,0.0096634,0.0096634
19,457.027,3.57089,2.29682,3.87575,0.54433,0.51829,0.53719,0.19862,4.7641,11.9451,5.32512,0.0096436,0.0096436,0.0096436
20,480.904,3.54577,2.2574,3.8379,0.79331,0.78659,0.84787,0.42712,3.44607,1.90869,4.41821,0.0096238,0.0096238,0.0096238
21,504.638,3.47884,2.16897,3.83094,0.77308,0.91401,0.87665,0.48136,3.21666,1.52954,4.08547,0.009604,0.009604,0.009604
22,528.699,3.42782,2.15764,3.72113,0.82834,0.85331,0.87159,0.42549,3.55336,1.58792,4.50184,0.0095842,0.0095842,0.0095842
23,552.92,3.45664,2.19102,3.78834,0.8309,0.92073,0.90195,0.47969,3.32775,1.49691,4.16331,0.0095644,0.0095644,0.0095644
24,577.066,3.36398,2.07683,3.70498,0.77965,0.89634,0.86764,0.46893,3.33187,1.61771,4.21347,0.0095446,0.0095446,0.0095446
25,600.8,3.32808,2.05729,3.6604,0.85428,0.87195,0.91238,0.47522,3.27994,1.40577,4.21553,0.0095248,0.0095248,0.0095248
26,624.374,3.22649,1.98395,3.59566,0.87073,0.90361,0.93104,0.51982,3.14655,1.37538,4.05815,0.009505,0.009505,0.009505
27,648.261,3.23773,1.98121,3.57023,0.75738,0.89465,0.89155,0.48443,3.20441,1.45243,4.18739,0.0094852,0.0094852,0.0094852
28,672.093,3.2317,1.96532,3.55245,0.82441,0.84756,0.90956,0.51146,3.10128,1.47668,4.01235,0.0094654,0.0094654,0.0094654
29,695.764,3.18088,1.89689,3.57885,0.83339,0.87195,0.90251,0.4712,3.2977,1.50288,4.2492,0.0094456,0.0094456,0.0094456
30,719.46,3.17881,1.89464,3.51911,0.83966,0.8941,0.90795,0.4427,3.48249,1.43399,4.43242,0.0094258,0.0094258,0.0094258
31,743.048,3.176,1.92013,3.51315,0.83207,0.84756,0.90405,0.49539,3.28714,1.39024,4.1219,0.009406,0.009406,0.009406
32,766.725,3.11315,1.83499,3.49437,0.81779,0.89634,0.92548,0.52156,3.06865,1.39182,3.91458,0.0093862,0.0093862,0.0093862
33,791.276,3.11996,1.89675,3.47667,0.862,0.90854,0.94886,0.56315,2.95275,1.26942,3.83616,0.0093664,0.0093664,0.0093664
34,815.437,3.10392,1.87643,3.48132,0.86828,0.88425,0.92148,0.54476,2.8544,1.3076,3.72152,0.0093466,0.0093466,0.0093466
35,839.211,3.10997,1.87692,3.46953,0.8581,0.92181,0.94539,0.56475,2.85614,1.24398,3.72925,0.0093268,0.0093268,0.0093268
36,863.262,3.04533,1.78922,3.50263,0.9032,0.87195,0.93885,0.56658,2.80075,1.15925,3.70495,0.009307,0.009307,0.009307
37,887.165,2.98091,1.71987,3.37913,0.85847,0.93293,0.9403,0.57227,2.91045,1.14574,3.77162,0.0092872,0.0092872,0.0092872
38,911.517,3.02363,1.80353,3.43287,0.85715,0.92073,0.95359,0.5712,2.84766,1.15857,3.72314,0.0092674,0.0092674,0.0092674
39,935.632,3.07195,1.8043,3.39588,0.89259,0.82927,0.9264,0.48183,3.31175,1.45873,4.2739,0.0092476,0.0092476,0.0092476
